customer_id,signup_date,acquisition_channel,country,city,birth_year,gender,email,marketing_opt_in
C100000,2026-01-23,paid_social,spain,North Judithbury,1993,M,valeriebennett@example.com,1
C100001,2025-06-22,paid_search,Romania,East Jill,1977,F,osmith@example.org,0
C100002,2026-03-26,organic,United Kingdom,New Roberttown,1978,F,baileydonna@example.com,0
C100003,2025-12-10,affiliate,United Kingdom,East Jessetown,2000,F,mtrujillo@example.net,1
C100004,2024-10-06,organic,Germany,Lake Debra,1981,Other,cburns@example.com,0
C100005,2026-06-14,paid_search,Germany,Robinsonshire,1982,M,peter73@example.net,1
C100006,2026-01-11,organic,United Kingdom,Lisatown,1984,F,charlesking@example.net,0
C100007,2026-02-03,email,Italy,Lake Roberto,1985,M,garzajulia@example.com,0
C100008,2024-11-04,display,Germany,Ericmouth,1996,F,vanessa88@example.com,1
C100009,2025-07-01,paid_search,Spain,North Noahstad,1973,M,jenniferwilliams@example.com,1
C100010,2025-04-27,affiliate,United States,Cassandraton,1985,F,dferguson@example.org,1
C100011,2026-05-12,organic,Germany,Herrerafurt,2001,M,jason12@example.net,1
C100012,2025-11-18,email,United States,New Kellystad,2007,M,robertokhan@example.org,1
C100013,2026-03-01,organic,United Kingdom,Lake Chad,1971,F,joseph78@example.org,0
C100014,2025-06-25,paid_search,Netherlands,Port Keith,1991,Other,elliottzachary@example.com,1
C100015,2024-12-24,organic,United States,Port Jesseville,1985,Other,atkinsonkimberly@example.com,1
C100016,2025-09-26,affiliate,Spain,Ramirezstad,1986,M,colliercharlene@example.com,0
C100017,2024-09-07,email,Germany,West Michael,1978,F,williamschad@example.net,1
C100018,2026-03-05,paid_social,Germany,Jacquelineland,1997,M,burchsara@example.com,1
C100019,2025-11-13,organic,Germany,New Jessica,1996,F,aprilhurley@example.com,1
C100020,2026-01-08,paid_search,United States,South Noah,2007,M,walexander@example.net,0
C100021,2025-04-14,paid_search,Germany,Lake Mark,1972,F,crystalchandler@example.com,0
C100022,2026-06-11,paid_search,France,East Lydiamouth,1967,M,meganmullins@example.org,1
C100023,2026-04-19,organic,Germany,Adamsborough,2007,M,spencerjoshua@example.org,1
C100024,2026-01-28,paid_social,Germany,Jasonfort,1987,Other,andrewslouis@example.net,0
C100025,2024-12-07,paid_social,France,Wilkersonmouth,1982,M,hjimenez@example.org,0
C100026,2025-07-15,email,Germany,West Donald,1990,M,danielhaley@example.com,1
C100027,2024-08-17,paid_social,Romania,Juliechester,1971,M,david84@example.net,1
C100028,2024-11-17,paid_search,France,Coxberg,1992,M,michaeljones@example.org,1
C100029,2025-12-04,paid_social,France,Daviston,1987,F,gonzalezmichael@example.com,1
C100030,2025-12-29,organic,France,East Courtneychester,2000,Other,lanegabriel@example.net,1
C100031,2026-06-09,paid_social,Germany,South Patrickmouth,1998,F,bryan25@example.net,1
C100032,2025-03-20,display,Spain,Tashatown,1999,M,,1
C100033,2025-04-27,organic,France,Lake Nicoleview,1990,F,chandlerjeremy@example.org,1
C100034,2025-07-18,paid_search,France,Danielchester,2007,F,angelamckinney@example.net,1
C100035,2024-12-05,email,United Kingdom,South Aaron,1994,F,yarcher@example.com,1
C100036,2024-11-05,paid_social,United Kingdom,Teresaburgh,1981,Other,chaneypaul@example.org,1
C100037,2025-07-23,paid_social,Spain,Port Colleenhaven,1978,F,paula13@example.com,1
C100038,2024-12-23,display,Italy,East Nathaniel,1979,M,hollandanne@example.com,1
C100039,2025-11-29,paid_social,Germany,New Stephanie,1995,F,amandamitchell@example.net,0
C100040,2025-06-20,organic,Germany,New Mariotown,1972,M,andrewgarcia@example.org,0
C100041,2026-03-08,email,Germany,West Natashaport,1989,M,sallen@example.net,0
C100042,2025-12-11,affiliate,Netherlands,North John,1978,F,cynthiasalas@example.com,0
C100043,2025-03-09,organic,United Kingdom,North Jessicaland,1972,M,whitekaren@example.org,1
C100044,2026-03-08,organic,United States,East Donna,1974,M,nataliekennedy@example.com,0
C100045,2026-02-16,display,United Kingdom,West Allison,1987,M,anita85@example.org,0
C100046,2025-05-11,paid_social,United States,Brandtside,1997,M,jeffreycamacho@example.org,1
C100047,2025-02-17,paid_search,United Kingdom,Lake Larry,1979,F,dhicks@example.com,1
C100048,2025-12-04,paid_social,Germany,Samuelhaven,1963,M,zcalderon@example.com,1
C100049,2024-11-10,display,Germany,Martinezbury,2007,M,ijones@example.net,0
C100050,2024-12-10,paid_social,Germany,West Andrewside,2001,M,kathrynbaxter_at_example.org,1
C100051,2024-07-09,organic,United States,New Jeffrey,1999,M,alyssahaas@example.com,1
C100052,2026-02-04,organic,France,Lake Crystalbury,2007,M,linda40@example.com,0
C100053,2025-11-27,paid_search,United Kingdom,North Micheleland,1989,M,johnhuff@example.org,0
C100054,2025-12-13,affiliate,United States,West Elizabeth,1986,M,csmith@example.com,0
C100055,2026-01-30,paid_social,Germany,New David,2004,M,prodriguez@example.org,1
C100056,2025-07-08,paid_search,United Kingdom,Sanchezfort,2004,F,katherine72@example.com,1
C100057,2025-10-07,email,United Kingdom,Leeville,1995,M,matthew71@example.org,0
C100058,2024-11-10,paid_search,France,Gomezchester,1998,M,acampbell@example.com,0
C100059,2024-10-24,paid_social,Italy,Shieldston,1973,M,helen14@example.com,1
C100060,2025-11-28,organic,United Kingdom,North Richardmouth,1984,F,shauncannon@example.com,0
C100061,2025-07-19,display,Netherlands,East Jamesside,2007,F,zball@example.com,1
C100062,2025-10-04,display,Germany,Taylorburgh,1997,M,tonyamorris@example.net,1
C100063,2026-01-15,display,United Kingdom,Stevenland,1970,F,mpena@example.net,1
